"period_id";"date";"type"
25427;"31_07_2000";"b"
20521;"01_08_2000";"c"
26539;"02_08_2000";"c"
4492;"03_08_2000";"d"
8103;"04_08_2000";"c"
22302;"05_08_2000";"d"
17221;"06_08_2000";"d"
15202;"07_08_2000";"c"
28983;"08_08_2000";"a"
25920;"09_08_2000";"a"
15148;"10_08_2000";"b"
17176;"11_08_2000";"d"
20068;"12_08_2000";"c"
10376;"13_08_2000";"a"
3472;"14_08_2000";"b"
7139;"15_08_2000";"c"
364;"16_08_2000";"b"
11008;"17_08_2000";"b"
14384;"18_08_2000";"a"
25722;"19_08_2000";"a"
8854;"20_08_2000";"c"
10511;"21_08_2000";"a"
11168;"22_08_2000";"b"
12802;"23_08_2000";"a"
8815;"24_08_2000";"a"
25054;"25_08_2000";"b"
14023;"26_08_2000";"b"
29820;"27_08_2000";"b"
24223;"28_08_2000";"d"
2800;"29_08_2000";"d"
7408;"30_08_2000";"c"
3013;"31_08_2000";"a"
16417;"01_09_2000";"b"
11336;"02_09_2000";"d"
18172;"03_09_2000";"b"
26407;"04_09_2000";"c"
24441;"05_09_2000";"a"
8447;"06_09_2000";"d"
11249;"07_09_2000";"d"
20452;"08_09_2000";"d"
8013;"09_09_2000";"a"
23634;"10_09_2000";"a"
8120;"11_09_2000";"a"
28900;"12_09_2000";"a"
28954;"13_09_2000";"b"
20751;"14_09_2000";"d"
7171;"15_09_2000";"a"
6748;"16_09_2000";"a"
22594;"17_09_2000";"d"
22691;"18_09_2000";"a"
9298;"19_09_2000";"a"
6915;"20_09_2000";"a"
8462;"21_09_2000";"d"
18446;"22_09_2000";"a"
8991;"23_09_2000";"d"
20631;"24_09_2000";"b"
27832;"25_09_2000";"c"
10226;"26_09_2000";"b"
15837;"27_09_2000";"d"
17104;"28_09_2000";"a"
22177;"29_09_2000";"a"
8314;"30_09_2000";"d"
19086;"01_10_2000";"d"
20196;"02_10_2000";"d"
23653;"03_10_2000";"d"
9170;"04_10_2000";"d"
2834;"05_10_2000";"a"
27576;"06_10_2000";"a"
7012;"07_10_2000";"b"
2375;"08_10_2000";"d"
154;"09_10_2000";"c"
12630;"10_10_2000";"d"
2483;"11_10_2000";"d"
8627;"12_10_2000";"a"
4575;"13_10_2000";"a"
13805;"14_10_2000";"b"
27933;"15_10_2000";"c"
19937;"16_10_2000";"b"
4558;"17_10_2000";"c"
16129;"18_10_2000";"b"
21420;"19_10_2000";"b"
17541;"20_10_2000";"d"
22308;"21_10_2000";"c"
10336;"22_10_2000";"d"
27785;"23_10_2000";"a"
18061;"24_10_2000";"a"
14095;"25_10_2000";"c"
24491;"26_10_2000";"c"
21292;"27_10_2000";"d"
2056;"28_10_2000";"a"
13745;"29_10_2000";"d"
25364;"30_10_2000";"c"
8143;"31_10_2000";"d"
17203;"01_11_2000";"d"
19521;"02_11_2000";"d"
19931;"03_11_2000";"d"
28126;"04_11_2000";"a"
24539;"05_11_2000";"d"
10912;"06_11_2000";"b"
7903;"07_11_2000";"b"
7692;"08_11_2000";"b"
17200;"09_11_2000";"b"
19001;"10_11_2000";"c"
13187;"11_11_2000";"d"
29370;"12_11_2000";"c"
21752;"13_11_2000";"d"
21824;"14_11_2000";"b"
6299;"15_11_2000";"c"
9269;"16_11_2000";"c"
15026;"17_11_2000";"a"
3471;"18_11_2000";"c"
4812;"19_11_2000";"b"
20351;"20_11_2000";"c"
10215;"21_11_2000";"b"
5459;"22_11_2000";"d"
24048;"23_11_2000";"d"
4000;"24_11_2000";"c"
2345;"25_11_2000";"a"
22230;"26_11_2000";"c"
4817;"27_11_2000";"a"
24943;"28_11_2000";"d"
28429;"29_11_2000";"b"
2061;"30_11_2000";"a"
7279;"01_12_2000";"b"
750;"02_12_2000";"a"
777;"03_12_2000";"c"
28806;"04_12_2000";"c"
29034;"05_12_2000";"b"
2182;"06_12_2000";"d"
7854;"07_12_2000";"a"
27179;"08_12_2000";"d"
6532;"09_12_2000";"c"
27269;"10_12_2000";"a"
8365;"11_12_2000";"a"
26629;"12_12_2000";"b"
5418;"13_12_2000";"b"
25047;"14_12_2000";"d"
3436;"15_12_2000";"d"
8105;"16_12_2000";"b"
1957;"17_12_2000";"a"
4534;"18_12_2000";"d"
19656;"19_12_2000";"c"
21068;"20_12_2000";"c"
8804;"21_12_2000";"c"
24804;"22_12_2000";"a"
1707;"23_12_2000";"b"
19028;"24_12_2000";"c"
28926;"25_12_2000";"a"
20933;"26_12_2000";"d"
27457;"27_12_2000";"d"
9803;"28_12_2000";"b"
12906;"29_12_2000";"d"
28739;"30_12_2000";"d"
10234;"31_12_2000";"b"
5520;"01_01_2001";"a"
24469;"02_01_2001";"c"
12653;"03_01_2001";"d"
14346;"04_01_2001";"b"
5885;"05_01_2001";"d"
15330;"06_01_2001";"b"
11520;"07_01_2001";"d"
17406;"08_01_2001";"c"
17410;"09_01_2001";"b"
23488;"10_01_2001";"d"
19408;"11_01_2001";"b"
14130;"12_01_2001";"d"
4926;"13_01_2001";"b"
3255;"14_01_2001";"d"
24492;"15_01_2001";"c"
13225;"16_01_2001";"b"
25197;"17_01_2001";"d"
7925;"18_01_2001";"a"
8932;"19_01_2001";"d"
14035;"20_01_2001";"a"
10327;"21_01_2001";"a"
19152;"22_01_2001";"b"
19766;"23_01_2001";"a"
13306;"24_01_2001";"c"
13326;"25_01_2001";"a"
1559;"26_01_2001";"c"
10765;"27_01_2001";"d"
14025;"28_01_2001";"a"
27172;"29_01_2001";"b"
20193;"30_01_2001";"b"
6853;"31_01_2001";"a"
20685;"01_02_2001";"d"
24411;"02_02_2001";"b"
7474;"03_02_2001";"b"
20888;"04_02_2001";"a"
3144;"05_02_2001";"c"
492;"06_02_2001";"d"
28575;"07_02_2001";"c"
8833;"08_02_2001";"d"
22613;"09_02_2001";"a"
23598;"10_02_2001";"a"
21510;"11_02_2001";"b"
22778;"12_02_2001";"a"
27900;"13_02_2001";"d"
9420;"14_02_2001";"b"
3139;"15_02_2001";"d"
29639;"16_02_2001";"d"
28227;"17_02_2001";"a"
5047;"18_02_2001";"d"
7499;"19_02_2001";"c"
5310;"20_02_2001";"d"
16383;"21_02_2001";"c"
17626;"22_02_2001";"a"
10103;"23_02_2001";"d"
870;"24_02_2001";"b"
21123;"25_02_2001";"b"
21616;"26_02_2001";"d"
5631;"27_02_2001";"b"
3518;"28_02_2001";"b"
18294;"01_03_2001";"a"
28526;"02_03_2001";"d"
23347;"03_03_2001";"b"
8091;"04_03_2001";"c"
19173;"05_03_2001";"a"
26315;"06_03_2001";"c"
22675;"07_03_2001";"d"
16774;"08_03_2001";"a"
15351;"09_03_2001";"c"
4063;"10_03_2001";"a"
10505;"11_03_2001";"c"
7377;"12_03_2001";"c"
22581;"13_03_2001";"c"
24484;"14_03_2001";"d"
5677;"15_03_2001";"d"
24851;"16_03_2001";"b"
13679;"17_03_2001";"c"
4920;"18_03_2001";"c"
25613;"19_03_2001";"a"
21271;"20_03_2001";"a"
23704;"21_03_2001";"d"
18525;"22_03_2001";"c"
3315;"23_03_2001";"d"
10548;"24_03_2001";"b"
23389;"25_03_2001";"c"
28410;"26_03_2001";"c"
6307;"27_03_2001";"a"
29138;"28_03_2001";"d"
2696;"29_03_2001";"a"
5331;"30_03_2001";"c"
26670;"31_03_2001";"b"
9811;"01_04_2001";"c"
20346;"02_04_2001";"d"
6379;"03_04_2001";"c"
26358;"04_04_2001";"b"
8086;"05_04_2001";"b"
6257;"06_04_2001";"a"
1462;"07_04_2001";"c"
11275;"08_04_2001";"a"
4182;"09_04_2001";"d"
1968;"10_04_2001";"b"
16073;"11_04_2001";"d"
20125;"12_04_2001";"a"
23286;"13_04_2001";"a"
13549;"14_04_2001";"c"
2646;"15_04_2001";"a"
2091;"16_04_2001";"a"
7446;"17_04_2001";"d"
26868;"18_04_2001";"a"
6032;"19_04_2001";"d"
17606;"20_04_2001";"c"
6860;"21_04_2001";"a"
18783;"22_04_2001";"c"
8476;"23_04_2001";"c"
11949;"24_04_2001";"d"
14816;"25_04_2001";"c"
25719;"26_04_2001";"d"
19386;"27_04_2001";"d"
18180;"28_04_2001";"a"
16498;"29_04_2001";"d"
15673;"30_04_2001";"a"
27877;"01_05_2001";"a"
13587;"02_05_2001";"d"
12932;"03_05_2001";"a"
15857;"04_05_2001";"a"
19812;"05_05_2001";"c"
6347;"06_05_2001";"a"
22681;"07_05_2001";"a"
15250;"08_05_2001";"b"
7880;"09_05_2001";"c"
2615;"10_05_2001";"c"
19508;"11_05_2001";"c"
7639;"12_05_2001";"c"
18521;"13_05_2001";"b"
28081;"14_05_2001";"a"
19355;"15_05_2001";"a"
3372;"16_05_2001";"a"
22900;"17_05_2001";"c"
1125;"18_05_2001";"a"
7133;"19_05_2001";"c"
3634;"20_05_2001";"c"
3328;"21_05_2001";"a"
1484;"22_05_2001";"c"
4881;"23_05_2001";"c"
7593;"24_05_2001";"b"
7189;"25_05_2001";"c"
22742;"26_05_2001";"d"
23784;"27_05_2001";"d"
450;"28_05_2001";"c"
14631;"29_05_2001";"b"
6666;"30_05_2001";"b"
21244;"31_05_2001";"c"
11569;"01_06_2001";"a"
28617;"02_06_2001";"a"
26860;"03_06_2001";"a"
20235;"04_06_2001";"d"
16961;"05_06_2001";"c"
18315;"06_06_2001";"c"
5547;"07_06_2001";"d"
9360;"08_06_2001";"c"
9428;"09_06_2001";"c"
24972;"10_06_2001";"a"
10203;"11_06_2001";"a"
14793;"12_06_2001";"d"
20073;"13_06_2001";"b"
12978;"14_06_2001";"a"
14077;"15_06_2001";"d"
14833;"16_06_2001";"a"
11613;"17_06_2001";"b"
15289;"18_06_2001";"a"
24510;"19_06_2001";"a"
21970;"20_06_2001";"c"
16223;"21_06_2001";"a"
6668;"22_06_2001";"b"
4968;"23_06_2001";"d"
3767;"24_06_2001";"d"
5587;"25_06_2001";"b"
15543;"26_06_2001";"c"
29388;"27_06_2001";"b"
21238;"28_06_2001";"b"
5554;"29_06_2001";"b"
20582;"30_06_2001";"c"
14442;"01_07_2001";"d"
14795;"02_07_2001";"a"
27031;"03_07_2001";"c"
27069;"04_07_2001";"c"
28322;"05_07_2001";"c"
16337;"06_07_2001";"a"
54;"07_07_2001";"c"
22703;"08_07_2001";"a"
19557;"09_07_2001";"a"
14091;"10_07_2001";"b"
21918;"11_07_2001";"a"
9691;"12_07_2001";"b"
25866;"13_07_2001";"c"
2985;"14_07_2001";"a"
25257;"15_07_2001";"b"
7546;"16_07_2001";"b"
3840;"17_07_2001";"c"
7372;"18_07_2001";"b"
2754;"19_07_2001";"a"
13071;"20_07_2001";"d"
4444;"21_07_2001";"a"
11299;"22_07_2001";"a"
3105;"23_07_2001";"a"
10724;"24_07_2001";"a"
11709;"25_07_2001";"b"
3232;"26_07_2001";"d"
14837;"27_07_2001";"c"
29069;"28_07_2001";"c"
7555;"29_07_2001";"a"
4579;"30_07_2001";"c"
9032;"31_07_2001";"d"
22477;"01_08_2001";"d"
14940;"02_08_2001";"d"
9974;"03_08_2001";"d"
23466;"04_08_2001";"a"
23571;"05_08_2001";"d"
19523;"06_08_2001";"d"
7065;"07_08_2001";"d"
14774;"08_08_2001";"d"
29932;"09_08_2001";"a"
14437;"10_08_2001";"b"
8601;"11_08_2001";"d"
3281;"12_08_2001";"d"
22851;"13_08_2001";"a"
25016;"14_08_2001";"d"
20397;"15_08_2001";"c"
9450;"16_08_2001";"d"
25744;"17_08_2001";"a"
5632;"18_08_2001";"c"
28330;"19_08_2001";"b"
12667;"20_08_2001";"d"
22701;"21_08_2001";"d"
25058;"22_08_2001";"c"
21856;"23_08_2001";"b"
27697;"24_08_2001";"c"
6981;"25_08_2001";"d"
9865;"26_08_2001";"c"
20082;"27_08_2001";"b"
11940;"28_08_2001";"a"
11897;"29_08_2001";"c"
11789;"30_08_2001";"a"
6409;"31_08_2001";"b"
12516;"01_09_2001";"a"
22430;"02_09_2001";"b"
6899;"03_09_2001";"d"
21083;"04_09_2001";"b"
16949;"05_09_2001";"d"
18538;"06_09_2001";"a"
8380;"07_09_2001";"d"
2645;"08_09_2001";"a"
2718;"09_09_2001";"a"
4347;"10_09_2001";"b"
15170;"11_09_2001";"c"
4837;"12_09_2001";"d"
18352;"13_09_2001";"d"
5476;"14_09_2001";"a"
5034;"15_09_2001";"c"
3875;"16_09_2001";"b"
11023;"17_09_2001";"b"
8718;"18_09_2001";"c"
9857;"19_09_2001";"c"
25017;"20_09_2001";"c"
16984;"21_09_2001";"a"
10323;"22_09_2001";"b"
4752;"23_09_2001";"b"
24386;"24_09_2001";"d"
27473;"25_09_2001";"a"
16546;"26_09_2001";"b"
11482;"27_09_2001";"c"
26906;"28_09_2001";"c"
27048;"29_09_2001";"b"
3962;"30_09_2001";"b"
7248;"01_10_2001";"b"
9499;"02_10_2001";"d"
23527;"03_10_2001";"a"
18692;"04_10_2001";"c"
10500;"05_10_2001";"b"
28630;"06_10_2001";"b"
2908;"07_10_2001";"b"
14971;"08_10_2001";"d"
21322;"09_10_2001";"a"
7568;"10_10_2001";"b"
18543;"11_10_2001";"c"
26352;"12_10_2001";"a"
6165;"13_10_2001";"d"
6591;"14_10_2001";"b"
15020;"15_10_2001";"b"
4366;"16_10_2001";"a"
25230;"17_10_2001";"d"
11443;"18_10_2001";"b"
15046;"19_10_2001";"a"
11118;"20_10_2001";"a"
12105;"21_10_2001";"a"
18142;"22_10_2001";"a"
2624;"23_10_2001";"d"
12158;"24_10_2001";"a"
749;"25_10_2001";"c"
15849;"26_10_2001";"a"
14727;"27_10_2001";"d"
23628;"28_10_2001";"b"
24950;"29_10_2001";"b"
6628;"30_10_2001";"d"
854;"31_10_2001";"d"
3635;"01_11_2001";"c"
28987;"02_11_2001";"b"
15589;"03_11_2001";"c"
24391;"04_11_2001";"c"
16543;"05_11_2001";"d"
23992;"06_11_2001";"b"
20419;"07_11_2001";"c"
25855;"08_11_2001";"c"
3738;"09_11_2001";"a"
26152;"10_11_2001";"c"
16269;"11_11_2001";"c"
1318;"12_11_2001";"d"
9853;"13_11_2001";"d"
23060;"14_11_2001";"a"
19412;"15_11_2001";"d"
9398;"16_11_2001";"b"
20112;"17_11_2001";"b"
8535;"18_11_2001";"b"
20544;"19_11_2001";"a"
7437;"20_11_2001";"b"
28546;"21_11_2001";"b"
11046;"22_11_2001";"d"
2045;"23_11_2001";"c"
21446;"24_11_2001";"c"
19817;"25_11_2001";"b"
8383;"26_11_2001";"b"
25912;"27_11_2001";"d"
9820;"28_11_2001";"d"
27491;"29_11_2001";"b"
13613;"30_11_2001";"b"
2329;"01_12_2001";"d"
566;"02_12_2001";"c"
9363;"03_12_2001";"b"
22254;"04_12_2001";"a"
15514;"05_12_2001";"c"
6490;"06_12_2001";"d"
15708;"07_12_2001";"b"
8411;"08_12_2001";"a"
5939;"09_12_2001";"c"
21481;"10_12_2001";"a"
7035;"11_12_2001";"c"
24666;"12_12_2001";"a"
18141;"13_12_2001";"b"
12914;"14_12_2001";"a"
12428;"15_12_2001";"b"
17466;"16_12_2001";"d"
9188;"17_12_2001";"c"
25366;"18_12_2001";"c"
14293;"19_12_2001";"b"
19163;"20_12_2001";"c"
8400;"21_12_2001";"a"
4846;"22_12_2001";"c"
19970;"23_12_2001";"b"
15931;"24_12_2001";"c"
4794;"25_12_2001";"d"
9413;"26_12_2001";"b"
20744;"27_12_2001";"d"
16308;"28_12_2001";"a"
26203;"29_12_2001";"b"
15687;"30_12_2001";"b"
15674;"31_12_2001";"a"
9098;"01_01_2002";"d"
17882;"02_01_2002";"c"
6081;"03_01_2002";"c"
627;"04_01_2002";"c"
2452;"05_01_2002";"c"
10852;"06_01_2002";"a"
727;"07_01_2002";"b"
215;"08_01_2002";"a"
3697;"09_01_2002";"c"
28589;"10_01_2002";"b"
13329;"11_01_2002";"b"
10536;"12_01_2002";"a"
26030;"13_01_2002";"d"
8484;"14_01_2002";"d"
28741;"15_01_2002";"d"
7750;"16_01_2002";"b"
28962;"17_01_2002";"c"
9161;"18_01_2002";"c"
13251;"19_01_2002";"c"
16872;"20_01_2002";"c"
24183;"21_01_2002";"b"
13618;"22_01_2002";"b"
22151;"23_01_2002";"a"
20681;"24_01_2002";"c"
23848;"25_01_2002";"d"
16892;"26_01_2002";"c"
14920;"27_01_2002";"c"
7900;"28_01_2002";"b"
11106;"29_01_2002";"d"
11995;"30_01_2002";"a"
27916;"31_01_2002";"c"
24098;"01_02_2002";"b"
6074;"02_02_2002";"b"
26164;"03_02_2002";"c"
25289;"04_02_2002";"c"
11307;"05_02_2002";"a"
7942;"06_02_2002";"d"
2482;"07_02_2002";"d"
26251;"08_02_2002";"c"
9399;"09_02_2002";"d"
10024;"10_02_2002";"a"
4150;"11_02_2002";"c"
20894;"12_02_2002";"a"
876;"13_02_2002";"c"
11889;"14_02_2002";"b"
23141;"15_02_2002";"a"
29902;"16_02_2002";"d"
3730;"17_02_2002";"d"
22231;"18_02_2002";"b"
21792;"19_02_2002";"a"
18776;"20_02_2002";"d"
17664;"21_02_2002";"c"
27896;"22_02_2002";"d"
14669;"23_02_2002";"d"
8731;"24_02_2002";"b"
7578;"25_02_2002";"a"
8282;"26_02_2002";"d"
18025;"27_02_2002";"a"
23031;"28_02_2002";"c"
28328;"01_03_2002";"c"
8363;"02_03_2002";"d"
29003;"03_03_2002";"d"
11954;"04_03_2002";"c"
26610;"05_03_2002";"b"
2665;"06_03_2002";"b"
28117;"07_03_2002";"c"
3114;"08_03_2002";"d"
18709;"09_03_2002";"a"
146;"10_03_2002";"c"
24843;"11_03_2002";"d"
11801;"12_03_2002";"b"
26305;"13_03_2002";"b"
17652;"14_03_2002";"c"
3777;"15_03_2002";"c"
3650;"16_03_2002";"a"
10301;"17_03_2002";"b"
20392;"18_03_2002";"d"
5597;"19_03_2002";"b"
13697;"20_03_2002";"a"
5510;"21_03_2002";"d"
13693;"22_03_2002";"c"
12181;"23_03_2002";"a"
19197;"24_03_2002";"d"
18125;"25_03_2002";"a"
25485;"26_03_2002";"a"
739;"27_03_2002";"a"
21550;"28_03_2002";"a"
28555;"29_03_2002";"d"
7369;"30_03_2002";"d"
11606;"31_03_2002";"b"
21905;"01_04_2002";"d"
16006;"02_04_2002";"c"
13197;"03_04_2002";"a"
6568;"04_04_2002";"a"
22980;"05_04_2002";"c"
13412;"06_04_2002";"d"
23070;"07_04_2002";"b"
12176;"08_04_2002";"b"
1602;"09_04_2002";"d"
12595;"10_04_2002";"c"
7272;"11_04_2002";"a"
27713;"12_04_2002";"b"
18074;"13_04_2002";"c"
12584;"14_04_2002";"d"
13176;"15_04_2002";"b"
1837;"16_04_2002";"c"
10591;"17_04_2002";"a"
20703;"18_04_2002";"b"
28932;"19_04_2002";"b"
1369;"20_04_2002";"a"
18461;"21_04_2002";"d"
17161;"22_04_2002";"b"
7816;"23_04_2002";"a"
13051;"24_04_2002";"b"
6674;"25_04_2002";"d"
27492;"26_04_2002";"b"
27027;"27_04_2002";"b"
8832;"28_04_2002";"a"
5880;"29_04_2002";"a"
8479;"30_04_2002";"c"
19578;"01_05_2002";"b"
16205;"02_05_2002";"c"
22672;"03_05_2002";"c"
2465;"04_05_2002";"c"
17249;"05_05_2002";"d"
11879;"06_05_2002";"b"
7667;"07_05_2002";"b"
11900;"08_05_2002";"d"
2044;"09_05_2002";"b"
13245;"10_05_2002";"c"
393;"11_05_2002";"a"
24277;"12_05_2002";"c"
14745;"13_05_2002";"d"
14946;"14_05_2002";"b"
2475;"15_05_2002";"b"
12589;"16_05_2002";"a"
27453;"17_05_2002";"d"
15893;"18_05_2002";"d"
13832;"19_05_2002";"d"
22654;"20_05_2002";"b"
6387;"21_05_2002";"c"
9152;"22_05_2002";"a"
20259;"23_05_2002";"a"
23971;"24_05_2002";"d"
21837;"25_05_2002";"a"
21831;"26_05_2002";"c"
3080;"27_05_2002";"b"
27795;"28_05_2002";"c"
24274;"29_05_2002";"c"
11070;"30_05_2002";"c"
19640;"31_05_2002";"b"
21151;"01_06_2002";"d"
29313;"02_06_2002";"d"
26267;"03_06_2002";"a"
16190;"04_06_2002";"c"
19755;"05_06_2002";"a"
7637;"06_06_2002";"d"
1839;"07_06_2002";"a"
17327;"08_06_2002";"b"
16843;"09_06_2002";"d"
18938;"10_06_2002";"b"
17914;"11_06_2002";"c"
24961;"12_06_2002";"d"
13560;"13_06_2002";"a"
5874;"14_06_2002";"b"
1231;"15_06_2002";"d"
379;"16_06_2002";"b"
11699;"17_06_2002";"a"
23335;"18_06_2002";"d"
6927;"19_06_2002";"b"
3381;"20_06_2002";"d"
27964;"21_06_2002";"d"
19881;"22_06_2002";"d"
1303;"23_06_2002";"a"
5993;"24_06_2002";"a"
25280;"25_06_2002";"b"
507;"26_06_2002";"c"
27489;"27_06_2002";"c"
24870;"28_06_2002";"a"
6371;"29_06_2002";"c"
16820;"30_06_2002";"b"
11853;"01_07_2002";"d"
23256;"02_07_2002";"a"
15551;"03_07_2002";"b"
28470;"04_07_2002";"b"
6194;"05_07_2002";"a"
9860;"06_07_2002";"d"
7653;"07_07_2002";"c"
11616;"08_07_2002";"c"
24831;"09_07_2002";"a"
5018;"10_07_2002";"c"
16846;"11_07_2002";"d"
9503;"12_07_2002";"a"
6230;"13_07_2002";"d"
2657;"14_07_2002";"b"
4906;"15_07_2002";"c"
2278;"16_07_2002";"b"
22875;"17_07_2002";"c"
20606;"18_07_2002";"b"
16614;"19_07_2002";"b"
4143;"20_07_2002";"c"
11867;"21_07_2002";"a"
16344;"22_07_2002";"d"
