"period_id","product_id","X1.sales","X1.items","X2.sales","X2.items","X3.sales","X3.items","X4.sales","X4.items","X5.sales","X5.items","cat"
25533,216837,163062.18,2073,32132.8,2869,9816.31,113,14526.01,149,53917.5,546,2
27206,334448,27967.31,667,39360.12,2892,149678.76,2134,240505.65,2541,208026.45,3621,2
19375,763424,35316.39,3459,185131.73,2707,125825.18,2438,228558.85,4451,114903.5,1850,2
18201,473123,14593.5,1725,312555.04,3248,104914.38,1383,164306.5,4405,468868.95,4905,3
13902,448000,64754.97,1519,108269.25,2995,246132.54,3618,93380,4669,39646.24,2896,1
1429,515973,78645.44,1432,7546.72,202,112182.8,4360,160385.94,2077,148803.2,3796,1
27310,306998,149145,3660,40113.6,488,57581.81,737,214982.72,3722,73077.46,1942,2
27257,444818,59918.97,1767,298625.36,3512,320972.4,3384,78499.1,2902,11042.02,1894,3
12378,479344,224377.23,4963,60637.67,3499,5892.54,159,209354.2,4961,107173.5,4425,3
8423,924837,80930.3,946,263614.16,4583,197043.84,2268,12296.65,1655,156711.2,1780,3
14197,697877,100281.74,3037,149632.72,2956,62766.08,1312,145404.45,1845,26222.12,1076,1
8392,599106,61978.56,2576,1242.15,147,440762.28,4866,186634.14,2233,260189.82,4239,2
11924,897529,174020,2750,45025.6,526,197514.9,3905,196571.39,3901,66187.44,3288,1
28235,402919,23981.94,801,26731.08,318,445887.59,4967,66546.4,965,159461.94,3377,3
4137,606454,11112.75,1347,195810.36,2427,53678.64,3513,199849.92,4652,133471.86,1366,3
5185,556399,116076.45,1589,155733,4255,327785.92,4664,146335.5,2790,24848.96,1159,1
16611,334794,21602.25,225,27141.84,1012,27375.92,286,61357.5,2430,69621.42,2442,3
29602,312706,146398.2,2740,41918.68,1238,305723.64,3313,70536.3,2865,41011.74,2421,2
26911,127982,150357.27,1569,318240.72,3794,50261.22,2859,312228.52,3572,37269.12,1344,2
3124,121066,79362.36,4499,213409.65,3301,51257.6,640,191785.8,1961,161640.78,1731,2
12205,255583,216381,3476,107829.96,3748,59204.56,2636,320599.35,4959,239441.04,3933,3
22540,614760,9613.08,1548,39807.44,412,277501.92,4936,117418.5,4850,286767.36,4672,1
3724,229989,339515.1,4245,28302.45,3027,21123.2,3680,10997.91,189,384183,4131,2
14048,683818,72794.32,4616,46906.25,2375,248941.7,4886,92939.12,3464,273395.61,4317,3
12898,270012,258549.15,4731,291537.19,3703,213197.85,2635,55980.82,2846,75869.72,2908,1
2863,422059,17674.92,261,176985,1900,78218,1480,108795.94,1342,254023.23,3867,2
21771,622980,43741.6,1460,212816.2,4724,118101.78,4626,6531.7,602,113396.46,1819,2
29146,971436,354420,4125,282638.4,4040,283616.2,3460,444691.2,4876,391634.64,4392,2
24862,846711,114577.08,1146,97278.18,4533,74054.1,1279,282203.74,3094,18688.16,2168,2
22774,352610,87618.36,3754,184341.74,2354,220337.3,3382,21500.4,779,162525.96,3294,2
14476,610283,11546.36,137,100098.84,1634,8257.99,139,48400.44,2973,68775.6,2220,2
1333,313035,12327.54,138,243177.33,3751,209516.81,2423,48507.18,654,31823.97,2901,2
25443,633335,80900,5000,269669.4,3143,72410.1,870,24951.86,2974,16391.49,2831,3
5769,567644,51954.32,2746,345992,4880,231920.92,4858,14943.32,1162,46104.85,4931,1
14307,478833,167340.48,2976,15209.37,243,368647.79,4183,79418.88,864,9169.16,458,3
3181,254570,177243.74,3937,47394.6,660,275032.32,3216,36996.52,1034,79255.84,2204,2
23490,617048,36545.85,4815,96489.96,4893,172607.16,1892,197668.14,2469,361420.67,4297,2
4032,329920,64802.16,1368,19487,325,266595.77,3479,44057.8,470,300815.64,3923,1
29853,632626,25919.68,428,201115.45,4117,27505.92,348,20626.54,1166,275037.84,4059,1
6742,514357,120910.6,4460,46077.6,584,258158.08,3253,31802.1,419,15895.77,319,3
15071,997368,322878.96,3672,116342.5,4325,212403.54,4138,18563.81,2999,53771.76,1816,2
18793,123911,33495,4466,310567.74,4897,175617.24,4822,50753.16,612,145982.52,4582,1
28660,898350,68530.23,2859,441687.45,4757,47867.6,1265,148181.24,4526,28874.48,2216,3
24629,711955,72577.75,3095,201733.74,2678,98572.53,3837,220903.8,3810,109347.33,4001,3
3099,764518,27552.27,753,3671.48,349,154006.4,3040,151152.42,1546,431978.28,4666,3
24830,457732,134115.54,3711,222459.02,4283,92467.12,4106,136744.86,2289,7117.74,882,2
3116,175983,121203.22,2138,6144.6,294,32384.28,1279,20046.4,1139,463086.4,4780,2
14485,130303,50449.9,1226,386136.51,4001,186580.08,2164,43013.25,2731,81952.68,1291,3
27448,571127,49454.28,1566,125757.08,2741,88962.56,2356,99900.06,1821,5100.48,176,3
24393,259130,97040.77,1171,32484.09,2857,450101.64,4591,45718.52,1588,276758.76,3929,3
20195,977995,57735.18,2043,26557.34,278,145917.92,2032,218899.2,2496,147390.72,4688,1
10564,737890,191671.7,3586,108648.54,1134,113238,1398,387150.12,4221,366334.44,4161,1
10392,658418,257605.04,3976,150426.06,1933,171524.52,3954,186854.96,3928,31698.41,1913,3
7834,138016,67108.8,3608,59737.48,3964,30380.7,805,252376.56,2754,305748.96,3792,1
16330,408954,11658.02,209,90403.56,3666,401768.88,4908,378628.96,4222,111757.24,3724,2
4024,172567,30565.08,4354,17340.75,3303,107675.69,1951,154187.86,3266,40580.15,745,1
19266,653940,309493.8,4620,160741.66,2969,204604.44,2837,338911.44,3864,232839.72,4932,3
22271,192523,125761.47,2231,31451.36,496,35494.48,526,42000.7,4138,115846.86,1983,2
17695,527633,32012.82,2823,10668.75,1875,336641.69,3869,33895.17,411,273226.59,4113,3
19419,486606,46252.15,1283,4159.89,651,289340.16,2994,17340.98,226,48707.45,4661,1
18993,530057,69624.36,741,204401.4,3561,76101.62,763,133693.7,3535,53682.57,927,2
10191,783463,39396.49,1813,58425.72,1956,33166.24,1552,19334.25,225,185346.72,1872,2
25593,820331,321782.76,3526,10425.48,489,31164,2800,317643.8,3470,49736.4,1240,3
12302,300021,26002.48,787,178443.2,2080,139175.92,4238,126846.9,1455,78323.04,2616,1
18260,946668,340591.68,3432,17322.68,874,249860.76,3412,32403.52,436,76597.35,2217,3
15924,751085,179062.5,3125,26456.76,1188,212770.56,2481,102571.23,1149,91416.92,4564,2
623,875208,100890,1475,84004.42,863,145895.85,3015,22962,890,52697.43,2069,2
8058,930265,9489.04,1804,37354.29,597,122360.22,1377,332784.76,4532,2455.57,169,3
28361,181496,174268.6,2804,52585.92,1116,12312.3,1353,11089.26,1354,32310.46,1066,3
5979,873646,13042.77,689,96044.74,1894,29821.68,732,282054.24,2964,44296.29,1731,1
9580,141477,144879.54,2087,149641.83,3159,9288.12,174,71649.6,1888,170932.69,3403,2
5599,708917,199828.44,2506,8699.95,335,284862.67,4663,138666.03,1481,217298.7,3753,1
24925,147248,61433.44,1282,4292.37,111,75544.56,4612,3581.3,295,52738.8,4260,3
26706,283764,309241.65,4535,177085.98,2787,115985.99,1163,76807.12,2392,9220.2,1815,2
23096,706873,171418.54,2501,112733.46,1938,36610,523,33523.12,716,172448.19,3027,2
9646,116657,115258,3410,73998.54,1386,121808.96,2444,113303.19,1911,296940.81,3831,3
3055,441621,18687.76,728,81139.5,1482,72037.56,1146,16824.58,202,49120.46,1517,1
14474,717493,75724.84,4721,285839.9,2867,14062.5,625,100540.08,1866,36741.6,3402,3
10389,298350,65124.84,1236,407106.9,4986,336883.96,3754,255489.78,2847,2781.24,308,1
15292,775685,48868.65,3415,192318.5,4790,85225.14,2838,4399.5,150,23677.04,421,2
13027,579913,269834.8,3620,176109.75,2175,156854.88,3276,39210.96,796,3545.64,147,3
9494,979371,23368.2,1740,243592.4,4610,355917.78,4811,21236.37,411,22965.52,2056,3
24845,825793,15601.7,178,105998.01,1941,23188,850,111868.8,2064,8487.28,1108,1
11721,240063,259157.44,4111,143045.54,1793,97709.04,4056,154626.67,4051,217501.35,2895,1
409,961459,62825.85,4685,18412.65,2965,372303.36,4068,96460.4,4780,157301.4,4908,2
6250,331853,151717.2,2116,108432.17,4081,130034.02,4226,53163.45,3193,58305.97,1181,1
23596,935818,243589.94,3751,263767.56,3109,323456.24,4889,279947.36,2932,56278.24,943,1
20396,327523,264753.3,4170,42601,2938,98631,1404,316517.95,4795,216762.48,3041,1
28124,686763,25649.91,1993,179521.02,3451,331890.72,4944,106386.4,1136,315778.02,4778,3
21143,205835,40313.16,1956,287790.03,3447,279576.96,4784,186531.84,3036,121302.72,1232,1
997,253149,38389.12,4592,157713.3,4370,37107,450,325900.47,3577,209751.75,2525,1
9650,449011,69196.06,4274,268262.64,2988,99880.04,1594,76645.8,2765,215938.8,4920,2
451,361200,123650.96,2164,117372.8,1720,354384,4815,27946.93,3061,191458.56,2049,2
4140,646062,299352.03,4009,8786,1528,130052.49,1923,243179.82,3849,253136.1,4854,3
27023,329009,38319.05,2849,24221.68,4676,133875,2250,164586.24,2826,30918.48,564,3
20234,935048,132785.4,1705,9079.8,740,41025.4,1018,111630.3,3194,19886.13,1137,2
13784,749088,67718.48,3434,75740.94,2214,50262.44,3802,139236.4,2372,40251.8,3130,2
25784,333964,135655.85,1571,120710.99,4009,60766.8,3160,113909.68,2146,36454.08,3048,1
22017,641805,76567.7,2585,22499.04,912,178454.24,3266,35564.4,1780,122650.11,2061,2
9829,409438,60379.26,1186,235480.7,3206,84870.8,952,339794.29,4873,120075.84,4338,1
28521,517105,70058.97,2503,25021.57,1043,86724.52,3851,109429.04,1486,327748.1,4726,2
15346,380854,22551.7,3697,209879.04,3416,127366.98,1731,311821.4,4510,304938.9,3395,3
16207,136715,47229.48,2034,162577.8,1890,107419.2,1610,748.41,101,216542.62,2413,1
18159,341256,40666.08,3192,51627.12,2417,53671.88,1028,200993.17,3199,390568.11,4729,1
6497,974484,21476.9,2930,83714.72,1264,8260.56,894,5932.63,121,173187.36,3788,2
15896,430141,282500.8,3830,375603.84,4276,91467.97,979,115618.06,1354,41891.13,927,1
17880,336785,49855.5,2462,41050.86,906,177356.16,2624,309729,4900,83942.1,990,1
25192,803555,255424.58,3946,91844.8,3352,46961.53,781,20247.68,1861,35772.66,1386,1
7397,526924,200892.57,4089,203814.9,2755,174152.83,4379,198592.38,3983,35482.06,1321,2
15401,671135,12704.64,156,5430.96,228,77957.95,3085,128226.51,2943,155837.31,1891,3
3586,704536,286517.28,4438,108819.84,4332,35046,2360,220694.4,2328,139740.3,2583,2
19312,969528,191049.56,3172,407853.63,4131,124035.89,1331,4961.25,675,10584,800,3
16513,154249,293735.6,3560,46056.48,1257,35628.63,1929,76178.7,3978,208638.67,2273,2
5010,339142,90981.93,1027,390057.6,4920,47584.15,965,116944.98,4062,338213.61,3603,1
5361,131292,130493.44,1324,34490.4,420,83918.8,3485,395927.4,4780,390612.78,3942,3
15877,393642,72777,4281,60903.74,3862,161539.1,2839,72063.8,4561,279940.18,3029,2
21435,345810,4597.17,879,9064.47,647,193480.74,2703,206317.86,2562,166073.76,3117,2
29341,947508,17919.59,449,20151.78,3214,119976.39,1527,54508.72,4142,112744.68,3251,2
13497,724339,99565.56,4748,93690.63,3333,155935.8,4020,247463.3,3785,104410.35,2607,2
24508,356592,55796.7,3049,17033.69,2423,299145.76,4441,69519.8,1955,217709.55,2897,3
13261,162075,139573.74,3281,178243.92,2529,182966.08,1888,254332.59,3867,175766.1,3405,3
29056,377070,61167.16,932,78369.62,2653,40465.82,1283,4440.38,322,7177.8,420,1
1845,170691,47536.56,824,173461,3898,84112.7,1498,194770.02,4458,74382.48,1003,1
9476,911894,173630.4,3558,28038.46,3518,213245.25,3925,63302.44,1909,351195.63,4373,2
20323,672229,149254.42,3829,380964.95,4789,92507.1,3255,28892.16,4104,8239.9,655,2
3565,117033,40053.4,4261,16331.25,201,446640.96,4944,211394.88,4552,329485.5,3650,2
21657,929826,41422.9,467,10060.68,174,45268.2,2020,288045.9,4065,59872.8,2424,1
2941,445537,90236.16,3357,59054.8,2620,161606.83,3157,317454,3768,30888,432,2
26586,788499,157891.68,2096,193363.66,2219,220675.98,3689,66650.24,1868,284358.69,3327,1
24454,407271,54566.4,3712,10213.98,249,381903.66,3951,97232.96,1012,13361.37,2131,3
8224,459430,8720.32,224,290102.72,4912,11475,612,57978.61,881,34493.25,565,1
21731,798747,68850.54,3114,140232.78,3177,17346.93,471,89722.88,1024,92185.94,4774,2
8883,481524,175212.29,2321,161313.85,2941,38810.64,732,18371.68,1154,207138,3634,1
6713,297121,7486.25,125,47162.92,3764,36739.54,887,210261.84,3658,122529,3476,3
21532,346778,295576.8,3453,227139.38,2873,176308.6,4085,35055,738,255446.75,3445,1
12264,498595,93833.48,4877,6081.75,425,146316.15,2983,28145.15,365,82118.54,2674,1
8636,374875,319557.96,4959,35486.55,495,84937.88,1366,118937.6,3232,40012.56,4203,3
17898,263926,370234.2,4802,330138.03,4553,175350,3500,15497.6,668,15799,2257,3
27201,904488,142863.19,1829,341312.64,4192,101093.25,3643,61731.36,2104,277174.09,2869,2
2745,307918,131012.24,2168,112407.84,1506,200059.93,2513,25892.34,1087,62556.48,1624,2
14662,379977,33003.41,1523,133592.88,2389,65062.08,2088,47764.43,2471,21431.23,257,1
18109,709112,13514.76,1557,193445.46,4122,154264.8,2040,31239.24,3558,122003.73,3519,3
22799,558028,9106.46,121,13684.25,635,41034.43,859,59241.81,2109,48917.6,2602,3
26792,312841,20666.88,1152,77184.36,1971,59332.8,2104,128539.9,1790,54428.08,1162,3
12262,961501,244653.5,4550,336037.58,3826,10877.79,187,201935.67,4639,254457.6,4640,2
18873,324968,310076.32,3928,89231.4,3204,162944.6,2548,29535.45,3669,12357.9,1791,2
25898,920907,194797.89,2169,102745.89,1923,184149.84,2237,5147.1,171,11289.3,165,3
13666,862865,102918,4036,86572.71,2637,40728.48,3172,46143.15,4245,153361.24,1873,2
3938,861292,40113.36,588,112157.66,3106,168044.8,2240,280599.81,3837,314292.25,4639,2
8067,385142,214634.58,4197,80692.48,2084,131741.34,4629,47576.7,670,138813.76,1478,1
6289,208953,120077.28,2734,469576.36,4796,63499.5,1233,209088.88,4849,206809.3,2446,2
4706,869320,210109.68,2868,141439.99,3097,243368.12,4757,22847,682,21358.12,3332,2
28310,799718,253372.6,4370,240487.52,3184,345146.58,4542,46175.85,3745,116054.1,4055,3
15558,533932,356375.78,4234,189610.94,2879,56654.88,901,10412.7,1830,28692.1,2995,3
11283,476381,107180.64,3087,185407.95,3055,34428.38,1862,427474.25,4795,180102.15,1917,3
21425,809938,25803.52,608,89559.9,1910,91061.66,1286,69387.36,1158,218198.25,2775,3
16660,602864,47783.4,2170,58655.95,2567,317380.25,4405,231088.35,3865,297818.96,3583,2
16596,540132,248058.9,4743,53262.97,2381,50545.77,2937,4715.22,267,20332.85,323,2
8117,768169,155723.85,3721,273122.08,3167,218267.14,3913,10199.6,1720,156916.48,2954,2
25372,585414,27175.75,293,238281.98,2642,203576.52,2436,84514.4,3560,16114.42,2449,3
20999,979338,117608.7,4710,3347.55,173,301163.88,4639,60141.68,1772,180268.2,2510,2
27693,225424,248433.85,4571,51950.02,2494,214966.99,2557,316068.01,3463,97059.6,2280,2
9709,977388,264314.26,3178,23358.4,416,99559.15,1255,7649.34,529,152792.7,2131,1
14718,310135,19190.34,834,303648.85,3433,121866.16,1924,4698.54,113,26250.25,1025,3
24903,397504,197107.3,4745,49543.24,1486,145004.2,2090,123102.32,4742,11546.34,339,3
27215,673230,29313.2,2888,28298.34,1214,38522.8,499,25715.3,302,220802.22,2214,1
19485,323361,214733.4,3444,339391.4,3460,228139.56,3261,272846.88,3414,298795.14,3566,3
11300,192086,55397.82,813,41503.32,463,22907.81,3737,262247.7,4290,133075.8,1410,1
25071,603342,42225.3,3609,50485.52,3704,309789.3,4170,30224.88,378,342725.06,4534,3
14647,148561,336189.42,4077,68704.35,2145,160319.52,4366,255296.99,4537,232407.85,3851,1
10092,244360,29770.72,1064,50678.25,1225,141079.13,3053,275819.31,3951,29523.12,844,2
23642,581600,265792.72,3464,114740.55,3455,31219.14,4097,272622.84,2946,120536.15,1429,1
25477,247470,308223.72,3633,42098,775,122223.2,4730,220269.5,3190,196706.07,2453,1
16997,229768,237006,3300,141690.8,2440,280981.44,3826,4358.64,762,188773.5,4755,1
26419,558881,422978.08,4366,180242.14,4238,101739.68,3724,18674.85,345,423519.48,4308,1
27579,872687,15968.25,1359,238306.68,3386,112828.8,1680,27520.26,1754,130191.04,3724,3
17152,221666,223219.8,4593,85016.5,965,16972.64,296,29688.12,714,254921.89,2773,3
28496,311722,136010,2900,133947,1476,15128,1525,166842,2015,352374.06,3778,2
10107,975254,347780.72,3976,86679.04,1382,85476.85,1135,109581.54,1158,58865.94,1074,3
12712,372042,183664.32,3171,428560.56,4904,109657,1325,214329.36,4746,72532.85,3695,3
25857,398697,159751.24,4268,15847.4,790,24489.11,631,54486.18,3486,95612.68,2573,2
14237,326663,247207.41,2619,148495.68,2592,142581.07,4283,236310.99,3387,51639.62,3554,2
25427,753604,63827.76,4476,94205.7,1702,367665.97,4249,156355.94,2042,255910.2,4515,1
20521,935340,34731.9,3885,251371.35,4131,144852.84,1958,3904,640,186636.03,2737,1
26539,235767,147279.96,2157,200679,3775,76697.46,4198,65732.85,2117,90510,1400,1
4492,706744,121941.18,4338,24986.61,1969,40341.22,1214,60362.58,3162,146086.46,1963,1
8103,368237,160781.35,1741,124212.88,2584,112647.96,2451,245411.4,3796,110421.1,3805,3
22302,924774,83925.6,1734,239787.22,4058,63282,796,132473.73,2209,301974.03,3867,1
17221,240288,173098.08,2357,64308.58,4354,152821.2,3390,103456.64,3136,170484.57,3123,3
15202,479314,83072.13,2721,205593.18,3538,313257.38,4486,51381.54,1773,31880.1,1190,2
28983,386501,14455.42,2614,4828.85,437,7254,248,80278.2,927,98687.76,2264,2
25920,955805,94298.46,1238,107413.88,1372,346608.24,4488,213300.36,2652,80385,932,1
15148,725239,140071.68,4032,196315.6,1976,83695.04,1298,101539.04,4826,149683.5,1550,2
17176,344653,302545.8,3130,10505.42,218,194220.28,3116,42077.88,444,7821.33,1507,3
20068,251355,73305.8,1910,11568.15,369,193511.48,2467,35281.29,627,86092.26,2819,2
10376,586674,300039,4855,284288.76,3049,316370.52,4022,22892.96,398,102349.89,1497,1
3472,421188,174340.44,3111,33644.97,657,188149.83,2563,237352.32,3204,35352.4,1240,1
7139,215519,242957.75,3325,130474.4,4052,351599.19,3567,31581.74,907,257212.8,2748,2
364,333174,77220.6,2685,119712.6,1260,94240.85,2105,5230.55,169,124079.98,1798,1
11008,910911,203283.3,2959,190896.06,3434,120391.65,1285,47551.05,995,146559,4900,3
14384,159356,427830.36,4908,164819.52,3032,187619.12,4054,416644.32,4496,16194.46,2243,3
25722,643388,178331.04,4248,205480.8,2835,15713.5,275,18138.1,310,316274.15,4255,3
8854,531281,13351.74,2306,180953.08,3052,337846.5,4825,191357.52,2472,4641.84,189,1
10511,352757,41661.64,1982,342725.46,4786,4035.15,427,51508.44,3867,110455.36,2812,2
11168,397880,21419.37,441,70990.46,4826,378432.02,4843,67586.82,3759,75955.2,1380,2
12802,430161,102787.3,3814,28797.12,594,167317.28,4112,61494.3,1806,165529.32,2818,3
8815,912106,47954.1,3401,256036,4840,47848.05,529,169363.52,2608,207422.28,2829,2
25054,380712,7849.66,182,82371.12,1553,18385.08,516,395808.24,4292,376020.36,3789,2
14023,424917,68316.18,2334,40279.2,2582,15197.6,1727,28950.18,458,47861.1,4473,1
29820,775737,61976.61,4331,7318.8,321,150467.5,3475,65409.69,1153,366569.72,4334,1
24223,223239,127911.8,1558,172760,1750,32475.75,4085,101875.9,1666,148895.64,2143,1
2800,724382,127207.4,2710,150629.62,1913,127708.96,2866,20468.85,345,9275.82,186,2
7408,511687,149003.28,3636,101784.24,2238,214036.37,3581,370659.24,4956,104438.62,1166,3
3013,845635,181813.68,2214,149537.56,3371,37059.12,817,91972.1,1382,26826.22,2897,2
16417,410308,121427.62,2818,142557.2,4808,103134.11,2521,266602.98,3962,101292.11,1039,3
11336,508581,45645.6,528,86430.72,1632,341657.18,4738,62700,2200,46374,1475,1
18172,849038,5972.85,195,248931.8,3484,215476.8,2332,166764.64,3824,15036.81,201,1
26407,459512,360605.38,4877,41222.75,911,43553.84,2302,477103.9,4810,217948.08,2586,1
24441,806351,181154.82,2373,129180.24,1444,153299.51,3367,19490.15,251,11390,680,3
8447,269000,134936.5,3365,368512.57,4397,337750.03,4007,12604.74,421,13454.84,812,2
11249,916607,5968.64,128,254978.49,3237,51411.74,1513,68930.82,723,45234.45,1215,2
20452,524550,22374.6,419,50417.1,639,428918.72,4646,74055.42,1103,236868.94,3577,1
8013,328464,22587.89,3107,154457.27,4997,138366.08,3296,62768.8,1240,8693.65,421,2
23634,792582,193020.86,4366,15452.64,292,230087.84,2524,34672.96,4711,20176.65,585,1
8120,303251,67299.55,2935,53676,4200,69488.39,4789,94192.8,1040,284031,4983,3
28900,215845,54422.55,1755,143329.12,2627,69703.38,1097,77519.5,787,12985.05,195,1
28954,686087,27614.73,2041,245058.15,2955,28351.92,408,297077.04,3734,67540,1535,1
20751,662492,75468.48,1016,154826.16,2253,72842.55,1965,183915.55,2435,334036,4880,3
7171,749138,224248.2,4026,368848.02,4227,372500.18,4849,46184.88,2229,35731.03,1973,3
6748,449122,332239.82,3674,108363.98,3866,43372.8,1440,216529.92,4572,193134.24,3439,1
22594,552393,3934.7,730,11857.9,1501,55263.56,3538,391729.8,4587,29939.21,3077,3
22691,845227,48604.5,3150,188321.07,3103,84972.12,3622,207818.16,2824,255162.96,2796,1
9298,720902,392569.02,4518,105691.04,3332,15076.6,847,210311.64,3402,382904.08,4456,1
6915,190184,41650.8,915,260892.96,4404,362127.64,4508,118860.06,4818,105673.2,2568,1
8462,884517,25622.7,1115,223154.24,4826,240576.22,4306,56274.08,578,239386.29,4083,1
18446,853678,221840.64,3668,371962.71,4507,70467.84,1728,199914.54,2807,456471.67,4973,1
8991,399568,53268.22,2539,210444,4615,433069.5,4575,78629.76,4896,245468.08,4472,2
20631,513144,375817.43,4889,30693.6,435,51464.31,2549,20562.5,658,14958.85,205,1
27832,330825,180285.81,2931,285748.32,4784,34238.93,1177,48398.16,1916,66221.46,2546,3
10226,190501,55737.86,673,41030.54,758,3352.56,244,18359.28,516,151337.01,4191,2
15837,374248,173664.71,3677,15768,360,38058.3,441,388668.14,4298,19202.76,492,3
17104,780119,9463.96,274,89845.47,3861,196218.12,3669,57550.5,1575,159478.74,3153,1
22177,156317,149479.47,2601,86410.74,3614,90520.56,1482,82450.31,1061,118978.95,1915,2
8314,288969,52753.74,1833,8827.02,534,85270.88,1328,24472.4,2536,86652,2490,3
19086,988929,182017.92,3269,110197.2,3930,27051.57,367,341955.85,4847,25139.52,688,1
20196,178370,306736.37,4969,132430.98,3693,180610.56,2144,210574.08,4062,16064.55,435,3
23653,256157,160798.35,2621,41583.04,3184,352595.04,4848,22008.93,3841,263380.5,2675,1
9170,928283,417367.3,4655,164183.2,1840,243365.4,2551,26580.04,2228,109532.25,1803,3
2834,680899,209689.62,3381,257073.11,3871,193417.62,3873,339452.16,4866,23401.7,662,2
27576,657637,90751.96,2587,139304.88,3861,346988.26,4427,101049.6,1520,46691.04,1434,3
7012,615892,450439.35,4759,348367.95,3843,264367.95,4935,201734.73,3219,101910.07,3043,2
2375,371592,224266,2905,123904.88,1367,187791.5,2249,65660,3752,229474.64,2468,1
154,477302,347063.36,3779,259688.77,3553,22181.48,3022,46439.5,1418,1490.06,286,1
12630,848321,88597.74,3171,21950.1,870,9245.32,1484,109047.65,1501,152997.64,3449,1
2483,155337,371182.14,4074,16436.91,2699,297502.8,3745,130985.53,1567,136678.94,1543,1
8627,460174,39038.49,2271,147506.17,4571,191861.25,2625,46281.6,480,247120.5,4405,1
4575,575828,99887.48,1804,57460.48,848,69277.6,1424,32323.35,941,437505.04,4564,2
13805,653513,175223.16,3906,49709.7,1539,252298.8,3510,7450.8,168,303419.16,3474,2
27933,127222,264064.46,3167,59786.61,1599,68500.32,1554,20885.63,757,66806.36,4934,1
19937,844746,427440.75,4925,251849.04,3918,39977.56,1876,31883.76,3054,202565.6,4360,1
4558,284959,232418.48,2534,9389.38,154,69814.17,1767,24102.4,538,18775.72,1279,2
16129,335740,29657.8,514,91061.25,2625,31852.83,321,8317.62,422,176975.11,3887,3
21420,653457,196752.4,3140,243526.8,4855,50268.78,3474,49468.32,1296,67612.61,1297,1
17541,762779,134361.92,3608,32528.65,2485,429736.08,4668,307786.83,3539,15366.16,797,2
22308,916389,282575.98,4286,84262.8,920,383774.8,4790,7836.66,663,2891.96,197,1
10336,738358,209592.82,2194,428603.68,4496,40748.75,875,11921.58,198,183437.76,3594,3
27785,516205,4633.58,322,304822.7,4085,200988.83,3563,174259.32,3018,58740.69,1601,1
18061,773939,54400.52,4078,176225.28,2464,96447.28,989,286672.83,3397,16210.07,193,2
14095,879478,217798.02,3487,225488.64,4517,35527.8,3076,52121.79,4683,214361.8,3610,2
